service_id,date,exception_type
89041,20210215,2
89041,20210607,1
89041,20210329,1
89041,20210208,1
89041,20210405,1
89041,20210531,1
89041,20210322,1
89041,20210517,1
89041,20210524,1
89041,20210315,1
89041,20210510,1
89041,20210301,1
89041,20210308,1
89041,20210503,1
89041,20210222,1
89041,20210419,1
89041,20210426,1
89041,20210412,1
33463,20210215,2
33463,20210208,1
33463,20210308,1
33463,20210315,1
33463,20210301,1
33463,20210222,1
29864,20210215,2
29864,20210208,1
29864,20210308,1
29864,20210315,1
29864,20210301,1
29864,20210222,1
26385,20210215,2
26385,20210208,1
26385,20210308,1
26385,20210315,1
26385,20210301,1
26385,20210222,1
26385,20210211,2
26385,20210311,1
26385,20210318,1
26385,20210304,1
26385,20210225,1
26385,20210218,1
26385,20210212,2
26385,20210312,2
26385,20210219,1
26385,20210319,1
26385,20210305,1
26385,20210226,1
25579,20210215,2
25579,20210208,1
25579,20210308,1
25579,20210315,1
25579,20210301,1
25579,20210222,1
25579,20210216,2
25579,20210316,1
25579,20210302,1
25579,20210223,1
25579,20210209,1
25579,20210309,1
25579,20210217,2
25579,20210210,1
25579,20210310,1
25579,20210317,1
25579,20210303,1
25579,20210224,1
25579,20210218,2
25579,20210311,1
25579,20210318,1
25579,20210304,1
25579,20210225,1
25579,20210211,1
25579,20210219,2
25579,20210212,1
25579,20210312,1
25579,20210319,1
25579,20210305,1
25579,20210226,1
25569,20210215,2
25569,20210208,1
25569,20210308,1
25569,20210315,1
25569,20210301,1
25569,20210222,1
25569,20210216,2
25569,20210316,1
25569,20210302,1
25569,20210223,1
25569,20210209,1
25569,20210309,1
25569,20210217,2
25569,20210210,1
25569,20210310,1
25569,20210317,1
25569,20210303,1
25569,20210224,1
25569,20210218,2
25569,20210311,1
25569,20210318,1
25569,20210304,1
25569,20210225,1
25569,20210211,1
25569,20210219,2
25569,20210212,1
25569,20210312,1
25569,20210305,1
25569,20210226,1
19902,20210329,2
19902,20210208,2
19902,20210405,2
19902,20210531,2
19902,20210322,2
19902,20210517,2
19902,20210524,2
19902,20210315,2
19902,20210510,2
19902,20210301,2
19902,20210308,2
19902,20210503,2
19902,20210222,2
19902,20210419,2
19902,20210426,2
19902,20210412,2
19902,20210215,1
10196,20210208,2
10196,20210308,2
10196,20210301,2
10196,20210222,2
10196,20210215,1
8536,20210208,2
8536,20210308,2
8536,20210301,2
8536,20210222,2
8536,20210215,1
8370,20210208,2
8370,20210308,2
8370,20210301,2
8370,20210222,2
8370,20210215,1
